ranking,full name,ticker,industry,sector,hq location,hq address,years on list,ceo,eps,employees,revenues,profits,hq zip,website,market value,global 500 rank,revenue change,profit change,hq state
1,"Wal-Mart Stores, Inc.",WMT,General Merchandisers,Retailing,"Bentonville, AR",702 S.W. Eighth St.,23,C. Douglas McMillon,4.38,2300000,485873,13643,72716,http://www.walmart.com,218619,1,0.8,-7.2,AR
2,Berkshire Hathaway Inc.,BRKA,Insurance: Property and Casualty (Stock),Financials,"Omaha, NE",3555 Farnam St.,23,Warren E. Buffett,14645,367700,223604,24074,68131,http://www.berkshirehathaway.com,411035,11,6.1,0,NE
3,"Apple, Inc.",AAPL,"Computers, Office Equipment",Technology,"Cupertino, CA",1 Infinite Loop,23,Timothy D. Cook,8.31,116000,215639,45687,95014,http://www.apple.com,753718,9,-7.7,-14.4,CA
4,Exxon Mobil Corporation,XOM,Petroleum Refining,Energy,"Irving, TX",5959 Las Colinas Blvd.,23,Darren W. Woods,1.88,72700,205004,7840,75039,http://www.exxonmobil.com,340056,6,-16.7,-51.5,TX
5,McKesson Corporation,MCK,Wholesalers: Health Care,Wholesalers,"San Francisco, CA",1 Post St.,23,John H. Hammergren,9.7,68000,192487,2258,94104,http://www.mckesson.com,31439,12,6.2,53,CA
6,UnitedHealth Group Incorporated,UNH,Health Care: Insurance and Managed Care,Health Care,"Minnetonka, MN",9900 Bren Rd. E.,23,Stephen J. Hemsley,7.25,230000,184840,7017,55343,http://www.unitedhealthgroup.com,157793,17,17.7,20.7,MN
7,CVS Health Corporation,CVS,Health Care: Pharmacy and Other Services,Health Care,"Woonsocket, RI",1 CVS Dr.,23,Larry J. Merlo,4.9,204000,177526,5317,2895,http://www.cvshealth.com,81310,18,15.8,1.5,RI
8,General Motors Company,GM,Motor Vehicles and Parts,Motor Vehicles & Parts,"Detroit, MI",300 Renaissance Center,23,Mary T. Barra,6,225000,166380,9427,48265,http://www.gm.com,52968,20,9.2,-2.7,MI
9,AT&T Inc.,T,Telecommunications,Telecommunications,"Dallas, TX",208 S. Akard St.,23,Randall L. Stephenson,2.1,268540,163786,12976,75202,http://www.att.com,255679,23,11.6,-2.8,TX
10,Ford Motor Company,F,Motor Vehicles and Parts,Motor Vehicles & Parts,"Dearborn, MI",1 American Rd.,23,James P. Hackett,1.15,201000,151800,4596,48126,http://www.ford.com,46349,21,1.5,-37.7,MI
11,AmerisourceBergen Corp.,ABC,Wholesalers: Health Care,Wholesalers,"Chesterbrook, PA",1300 Morris Dr.,23,Steven H. Collis,6.32,18500,146850,1427.9,19087,http://www.amerisourcebergen.com,19229,28,8,,PA
12,"Amazon.com, Inc.",AMZN,Internet Services and Retailing,Technology,"Seattle, WA",410 Terry Ave. N.,16,Jeffrey P. Bezos,4.9,341400,135987,2371,98109,http://www.amazon.com,423031,44,27.1,297.8,WA
13,General Electric Company,GE,Industrial Machinery,Industrials,"Boston, MA",41 Farnsworth St.,23,John L. Flannery Jr.,0.89,295000,126661,8831,2210,http://www.ge.com,259520,26,-9.8,,MA
14,Verizon Communications Inc.,VZ,Telecommunications,Telecommunications,"New York, NY",1095 Ave. of the Americas,23,Lowell C. McAdam,3.21,160900,125980,13127,10036,http://www.verizon.com,198900,30,-4.3,-26.6,NY
15,"Cardinal Health, Inc.",CAH,Wholesalers: Health Care,Wholesalers,"Dublin, OH",7000 Cardinal Place,23,George S. Barrett,4.32,37300,121546,1427,43017,http://www.cardinalhealth.com,25725,50,18.5,17.4,OH
16,Costco Wholesale Corporation,COST,General Merchandisers,Retailing,"Issaquah, WA",999 Lake Dr.,23,W. Craig Jelinek,5.33,172000,118719,2350,98027,http://www.costco.com,73606,38,2.2,-1.1,WA
17,"Walgreens Boots Alliance, Inc",WBA,Food and Drug Stores,Food & Drug Stores,"Deerfield, IL",108 Wilmot Rd.,23,Stefano Pessina,3.82,300000,117351,4173,60015,http://www.walgreensbootsalliance.com,89645,47,13.4,-1.1,IL
18,The Kroger Company,KR,Food and Drug Stores,Food & Drug Stores,"Cincinnati, OH",1014 Vine St.,23,W. Rodney McMullen,2.05,443000,115337,1975,45202,http://www.thekrogerco.com,26961,42,5,-3.1,OH
19,Chevron Corporation,CVX,Petroleum Refining,Energy,"San Ramon, CA",6001 Bollinger Canyon Rd.,23,John S. Watson,-0.27,55200,107567,-497,94583,http://www.chevron.com,203263,31,-18,-110.8,CA
20,Fannie Mae,FNMA,Diversified Financials,Financials,"Washington, DC",3900 Wisconsin Ave. N.W.,20,Timothy J. Mayopoulos,0.01,7000,107162,12313,20016,http://www.fanniemae.com,3011,40,-2.9,12.4,DC
21,JPMorgan Chase & Co.,JPM,Commercial Banks,Financials,"New York, NY",270 Park Ave.,23,James Dimon,6.19,243355,105486,24733,10017,http://www.jpmorganchase.com,313761,55,4.4,1.2,NY
22,Express Scripts Holding Company,ESRX,Health Care: Pharmacy and Other Services,Health Care,"St. Louis, MO",1 Express Way,18,Timothy C. Wentworth,5.39,25600,100288,3404.4,63121,http://www.express-scripts.com,39567,52,-1.4,37.5,MO
23,"The Home Depot, Inc.",HD,Specialty Retailers: Other,Retailing,"Atlanta, GA",2455 Paces Ferry Rd.,23,Craig A. Menear,6.45,406000,94595,7957,30339,http://www.homedepot.com,176368,69,6.9,13.5,GA
24,The Boeing Company,BA,Aerospace and Defense,Aerospace & Defense,"Chicago, IL",100 N. Riverside Plaza,23,Dennis A. Muilenburg,7.61,150540,94571,4895,60606,http://www.boeing.com,107546,61,-1.6,-5.4,IL
25,Wells Fargo & Company,WFC,Commercial Banks,Financials,"San Francisco, CA",420 Montgomery St.,23,Timothy J. Sloan,3.99,269100,94176,21938,94163,http://www.wellsfargo.com,278516,67,4.6,-4.2,CA
26,Bank of America Corporation,BAC,Commercial Banks,Financials,"Charlotte, NC",100 N. Tryon St.,23,Brian T. Moynihan,1.5,208024,93662,17906,28255,http://www.bankofamerica.com,236182,64,0.7,12.7,NC
27,Alphabet Inc.,GOOGL,Internet Services and Retailing,Technology,"Mountain View, CA",1600 Amphitheatre Pkwy.,12,Larry Page,27.85,72053,90272,19478,94043,http://www.abc.xyz,579426,94,20.4,19.1,CA
28,Microsoft Corporation,MSFT,Computer Software,Technology,"Redmond, WA",1 Microsoft Way,23,Satya Nadella,2.1,114000,85320,16798,98052,http://www.microsoft.com,508935,63,-8.8,37.8,WA
29,"Anthem, Inc.",ANTM,Health Care: Insurance and Managed Care,Health Care,"Indianapolis, IN",120 Monument Circle,23,Joseph R. Swedish,9.21,53000,84863,2469.8,46204,http://www.antheminc.com,43813,85,7.2,-3.5,IN
30,Citigroup Inc.,C,Commercial Banks,Financials,"New York, NY",388 Greenwich St.,23,Michael L. Corbat,4.72,219000,82386,14912,10013,http://www.citigroup.com,165394,70,-6.7,-13.5,NY
31,Comcast Corporation,CMCSA,Telecommunications,Telecommunications,"Philadelphia, PA",1 Comcast Center,22,Brian L. Roberts,1.79,159000,80403,8695,19103,http://www.comcastcorporation.com,178258,96,7.9,6.5,PA
