ranking,full name,ticker,industry,sector,hq location,hq address,years on list,ceo,employees,revenues,profits,hq zip,website,fortune 500 rank,revenue change,profit change,assets,hq state
1,"Wal-Mart Stores, Inc.",WMT,General Merchandisers,Retailing,"Bentonville, AR",702 S.W. Eighth St.,23,C. Douglas McMillon,2300000,485873,13643,72716,http://www.walmart.com,1,0.8,-7.2,198825,Arkansas
2,State Grid Corporation of China,,Utilities,Energy,"Beijing, China",86 Xichang'an Ave.,17,Kou Wei,926067,315199,9571.3,100031,http://www.sgcc.com.cn,,-4.4,-6.2,489838,
3,China Petrochemical Corporation,,Petroleum Refining,Energy,"Beijing, China",22 Chaoyangmen N. St.,19,Wang Yupu,713288,267518,1257.9,100728,http://www.sinopec.com,,-9.1,-65,310726,
4,China National Petroleum Corporation,,Petroleum Refining,Energy,"Beijing, China",9 Dongzhimen N. St.,17,Zhang Jianhua,1512048,262573,1867.5,100007,http://www.cnpc.com.cn,,-12.3,-73.7,585619,
5,Toyota Motor Corporation,TM,Motor Vehicles and Parts,Motor Vehicles & Parts,"Toyota, Japan",1 Toyota-cho,23,Akio Toyoda,364445,254694,16899.3,471-8571,http://www.toyota-global.com,,7.7,-12.3,437575,
6,Volkswagen AG,VLKAY,Motor Vehicles and Parts,Motor Vehicles & Parts,"Wolfsburg, Germany",Berliner Ring 2,23,Matthias Muller,626715,240264,5937.3,38440,http://www.volkswagen.com,,1.5,,432116,
7,Royal Dutch Shell plc,RDS.A,Petroleum Refining,Energy,"The Hague, Netherlands",Carel van Bylandtlaan 30,23,Ben van Beurden,89000,240033,4575,2596,http://www.shell.com,,-11.8,135.9,411275,
8,Berkshire Hathaway Inc.,BRKA,Insurance: Property and Casualty (Stock),Financials,"Omaha, NE",3555 Farnam St.,21,Warren E. Buffett,367700,223604,24074,68131,http://www.berkshirehathaway.com,2,6.1,,620854,Nebraska
9,"Apple, Inc.",AAPL,"Computers, Office Equipment",Technology,"Cupertino, CA",1 Infinite Loop,15,Timothy D. Cook,116000,215639,45687,95014,http://www.apple.com,3,-7.7,-14.4,321686,California
10,Exxon Mobil Corporation,XOM,Petroleum Refining,Energy,"Irving, TX",5959 Las Colinas Blvd.,23,Darren W. Woods,72700,205004,7840,75039,http://www.exxonmobil.com,4,-16.7,-51.5,330314,Texas
11,McKesson Corporation,MCK,Wholesalers: Health Care,Wholesalers,"San Francisco, CA",1 Post St.,23,John H. Hammergren,64500,198533,5070,94104,http://www.mckesson.com,5,3.1,124.5,60969,California
12,BP p.l.c.,BP,Petroleum Refining,Energy,"London, Britain",1 St. James's Sq.,23,Robert W. Dudley,74500,186606,115,SW1Y 4PD,http://www.bp.com,,-17.4,,263316,
13,UnitedHealth Group Incorporated,UNH,Health Care: Insurance and Managed Care,Health Care,"Minnetonka, MN",9900 Bren Rd. E.,21,Stephen J. Hemsley,230000,184840,7017,55343,http://www.unitedhealthgroup.com,6,17.7,20.7,122810,Minnesota
14,CVS Health Corporation,CVS,Health Care: Pharmacy and Other Services,Health Care,"Woonsocket, RI",1 CVS Dr.,22,Larry J. Merlo,204000,177526,5317,2895,http://www.cvshealth.com,7,15.8,1.5,94462,Rhode Island
15,"Samsung Electronics Co., Ltd.",SSNLF,"Electronics, Electrical Equip.",Technology,"Suwon, South Korea",129 Samsung-ro,23,Oh-Hyun Kwon,325000,173957,19316.5,299,http://www.samsung.com,,-2,16.8,217104,
16,Glencore plc,GLNCY,"Mining, Crude-Oil Production",Energy,"Baar, Switzerland",Baarermattstrasse 3,7,Ivan Glasenberg,93123,173883,1379,6340,http://www.glencore.com,,2,,124600,
17,Daimler AG,DDAIY,Motor Vehicles and Parts,Motor Vehicles & Parts,"Stuttgart, Germany",Mercedesstrasse 137,23,Dieter Zetsche,282488,169483,9428.4,70327,http://www.daimler.com,,2.2,0.9,256262,
18,General Motors Company,GM,Motor Vehicles and Parts,Motor Vehicles & Parts,"Detroit, MI",300 Renaissance Center,23,Mary T. Barra,225000,166380,9427,48265,http://www.gm.com,8,9.2,-2.7,221690,Michigan
19,AT&T Inc.,T,Telecommunications,Telecommunications,"Dallas, TX",208 S. Akard St.,23,Randall L. Stephenson,268540,163786,12976,75202,http://www.att.com,9,11.6,-2.8,403821,Texas
20,EXOR N.V.,EXXRF,Diversified Financials,Financials,"Amsterdam, Netherlands",Hoogoorddreef 15,7,John Elkann,302562,154894,651.3,1101 BA,http://www.exor.com,,1.5,-21.1,186172,
